1 | 18-03-2011 20:34:58 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
2 | 18-03-2011 20:35:31 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.151 Safari/534.16
3 | 18-03-2011 20:36:05 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
4 | 18-03-2011 20:37:30 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
5 | 18-03-2011 20:40:18 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
6 | 18-03-2011 20:43:52 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
7 | 18-03-2011 20:44:47 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.151 Safari/534.16
8 | 18-03-2011 20:45:28 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
9 | 18-03-2011 20:46:38 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.151 Safari/534.16
10 | 18-03-2011 20:47:49 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
11 | 18-03-2011 20:50:43 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.151 Safari/534.16
12 | 18-03-2011 20:50:51 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
13 | 18-03-2011 20:51:55 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.151 Safari/534.16
14 | 18-03-2011 20:57:23 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.151 Safari/534.16
15 | 18-03-2011 21:13:48 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; pl; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
16 | 18-03-2011 21:14:12 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.151 Safari/534.16
17 | 18-03-2011 21:16:54 | 81.168.172.27 | Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.151 Safari/534.16
